 8352  0  28% S   121 493524K  89724K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  20% S   115 467760K  77388K  bg u0_a101  com.google.android.apps.youtube.mango
 8352  0  39% S   120 482808K  84920K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  52% S   121 493896K  92084K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  31% S   121 493896K  92140K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  23% R   121 493896K  92164K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  26% S   121 493528K  89944K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  28% S   121 493528K  89964K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  22% S   121 493528K  90028K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   121 493528K  90036K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  24% S   121 493528K  90076K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  23% S   120 492472K  90076K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  29% S   120 492472K  90084K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   120 492472K  90104K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  22% S   120 492472K  90108K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  25% S   120 492472K  90132K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  29% S   115 468224K  78356K  bg u0_a101  com.google.android.apps.youtube.mango
 8352  0  39% D   119 489740K  91672K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  44% S   120 492844K  92020K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   120 492844K  92040K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  19% S   120 492844K  92044K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  26% S   120 492476K  89160K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  24% S   120 492476K  89176K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  23% S   120 492476K  89180K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  27% S   120 492476K  89236K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  27% R   120 492476K  89256K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   118 490364K  89256K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  24% S   118 490364K  89272K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  24% S   118 490364K  89292K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  28% S   118 490364K  89304K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  21% S   118 490364K  89312K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  25% R   118 490364K  89352K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  25% R   111 465656K  76964K  bg u0_a101  com.google.android.apps.youtube.mango
