 3805  1  43% S   125 487340K  88992K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  49% S   126 492492K  88788K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  34% S   126 492492K  88972K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  21% S   126 492492K  88992K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  23% S   126 492204K  85804K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  22% S   126 492204K  85924K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  20% S   126 492204K  85932K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   124 490092K  85928K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  22% S   124 490092K  85944K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% S   123 489036K  85948K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% R   122 487980K  85968K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  24% S   122 487980K  85976K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  27% S   121 486924K  85988K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  22% R   116 462216K  73464K  bg u0_a101  com.google.android.apps.youtube.mango
 3805  0  35% R   120 468616K  76716K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  42% S   122 488272K  87720K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  46% S   122 488272K  88380K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   122 488272K  88384K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  21% S   122 487980K  85408K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% S   122 487980K  85528K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  22% S   122 487980K  85612K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% S   122 487980K  85688K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  20% S   122 487980K  85764K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  20% S   122 487980K  85896K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  25% S   122 487980K  85992K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  27% S   122 487980K  86100K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% S   122 487980K  86176K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  18% R   122 487980K  86180K  fg u0_a101  com.google.android.apps.youtube.mango
